"","Codigo","Estacion","Municipio","Departamento","Latitud","Longitud","(m.s.n.m)","ENE","FEB","MAR","ABR","MAY","JUN","JUL","AGO","SEP","OCT","NOV","DIC","prom Anual","anosInformacion","fecha Inicio","fecha Final"
"299",15085020,"Nazareth","Uribía","La Guajira","12,17","-71,28",85,"7,1","6,9","6,6","5,5","5,6","7,0","7,9","7,9","6,8","5,9","6,2","6,1","6,6",32,"ene-79","jul-12"
"300",15085040,"Rancho Grande","Uribía","La Guajira","11,68","-71,82",50,"8,9","8,6","8,3","7,1","7,1","7,9","8,5","8,5","7,5","6,9","7,3","8,0","7,9",35,"mar-78","mar-12"
"301",28015070,"Urumita","Urumita","La Guajira","10,55","-73,00",255,"8,6","8,2","7,3","5,8","5,5","5,8","6,7","6,3","5,4","5,7","6,4","7,4","6,6",34,"ene-78","sep-12"
"302",29065090,"Luz Mary","Aracataca","Magdalena","10,60","-74,20",50,"8,8","8,4","6,5","5,7","5,7","5,8","6,4","6,4","5,8","6,0","6,2","7,8","6,6",8,"may-90","nov-97"
"303",15015020,"La Ye","Ciénaga","Magdalena","10,98","-74,20",20,"8,9","8,7","7,7","7,1","6,5","6,8","6,7","6,8","6,1","6,4","7,2","8,2","7,2",23,"ene-79","ago-12"
"304",25025090,"Aeropuerto Las Flores","El Banco","Magdalena","9,03","-73,97",34,"8,5","8,1","6,9","6,0","5,6","6,6","7,1","7,1","6,1","5,7","6,2","7,8","6,8",31,"ene-79","ago-12"
"305",29065010,"Zacapa","El Reten","Magdalena","10,58","-74,25",30,"7,8","7,9","6,5","6,0","5,7","5,7","6,5","6,0","5,4","5,4","6,4","7,2","6,4",10,"ene-80","feb-90"
"306",29065100,"Pativilca","El Reten","Magdalena","10,58","-74,22",55,"8,5","7,8","6,6","5,7","5,5","6,2","6,7","6,4","4,9","5,4","6,6","5,5","6,3",4,"dic-97","mar-12"
"307",25025320,"Los Álamos","San Sebastián de Buenavista","Magdalena","9,30","-74,27",25,"8,6","8,3","7,0","6,1","5,9","6,7","7,3","7,0","6,0","6,2","6,3","7,4","6,9",25,"ene-85","dic-12"
"308",15015050,"Aeropuerto Simón Bolívar","Santa Marta","Magdalena","11,12","-74,22",4,"9,2","8,8","8,1","7,6","7,2","7,6","7,5","7,1","6,7","6,6","7,3","8,7","7,7",26,"ene-84","dic-12"
"309",15015060,"San Lorenzo","Santa Marta","Magdalena","11,07","-74,03",2200,"3,1","3,0","2,9","2,6","2,5","2,8","3,4","3,1","2,4","1,8","1,7","2,5","2,7",32,"ene-79","oct-12"
"310",15015100,"Parque Tayrona","Santa Marta","Magdalena","11,28","-73,90",30,"6,6","6,0","5,8","4,9","4,9","5,3","6,1","6,1","5,8","5,0","5,6","5,3","5,6",13,"ene-79","mar-92"
"311",29065020,"Padelma","Zona Bananera","Magdalena","10,72","-74,18",20,"8,6","8,0","6,8","6,3","5,9","6,1","6,3","6,0","5,4","5,8","6,4","7,6","6,6",34,"ene-78","dic-12"
"312",29065030,"Prado Sevilla","Zona Bananera","Magdalena","10,75","-74,15",18,"8,2","8,3","6,9","6,5","6,0","6,0","6,4","6,2","5,6","5,8","6,4","6,7","6,6",30,"ene-80","ago-12"
"313",35105020,"Barranca De Upía","Barranca de Upía","Meta","4,57","-72,97",225,"6,9","6,3","4,4","4,6","4,6","3,8","4,4","4,9","5,8","5,9","5,8","6,5","5,3",12,"feb-78","dic-90"
